lcat,x,y,across,x1,y1,cos,sin,culvert,along
217.0,240660.6555682601,5156811.972348396,9.0,240660.2538446882,5156802.981318523,0.04463595242959055,0.9990033191890322,0.0,6390.0
217.0,240670.64521605527,5156811.52600619,9.0,240670.24349257542,5156802.534976313,0.0446359422050587,0.9990033196458692,0.0,6400.0
217.0,240680.63486384077,5156811.079663981,9.0,240680.2331403605,5156802.088634104,0.04463594225048301,0.9990033196438396,0.0,6410.0
217.0,240690.62451162632,5156810.633321771,9.0,240690.22278814646,5156801.642291894,0.0446359422050587,0.9990033196458692,0.0,6420.0
217.0,240700.61415941129,5156810.18697956,9.0,240700.21243593143,5156801.195949683,0.0446359422050587,0.9990033196458692,0.0,6430.0
217.0,240710.60380719672,5156809.740637351,9.0,240710.2020837165,5156800.749607474,0.044635942249185115,0.9990033196438975,0.0,6440.0
217.0,240720.59345498227,5156809.2942951415,9.0,240720.19173150242,5156800.303265264,0.0446359422050587,0.9990033196458692,0.0,6450.0
217.0,240730.5831027673,5156808.847952941,9.0,240730.18137928747,5156799.856923064,0.04463594220376103,0.9990033196459271,0.0,6460.0
217.0,240740.57275055273,5156808.40161073,9.0,240740.1710270725,5156799.410580853,0.044635942249185115,0.9990033196438975,0.0,6470.0
217.0,240750.5623983392,5156807.95526852,9.0,240750.16067486774,5156798.964238643,0.04463594127555586,0.9990033196873997,0.0,6480.0
217.0,240760.5520461233,5156807.5089263115,9.0,240760.15032264346,5156798.517896434,0.0446359422050587,0.9990033196458692,0.0,6490.0
217.0,240770.54169390874,5156807.0625841,9.0,240770.1399704285,5156798.071554223,0.044635942249185115,0.9990033196438975,0.0,6500.0
217.0,240780.53134169523,5156806.61624189,9.0,240780.12961822376,5156797.625212013,0.04463594127425797,0.9990033196874578,0.0,6510.0
217.0,240790.5209894793,5156806.169899682,9.0,240790.11926599947,5156797.178869804,0.04463594220376103,0.9990033196459271,0.0,6520.0
217.0,240800.51063726476,5156805.723557482,9.0,240800.10891378453,5156796.732527604,0.044635942249185115,0.9990033196438975,0.0,6530.0
217.0,240810.5002850503,5156805.27721527,9.0,240810.09856157046,5156796.286185393,0.0446359422050587,0.9990033196458692,0.0,6540.0
217.0,240820.4899328362,5156804.83087306,9.0,240820.08820936474,5156795.839843183,0.04463594127555586,0.9990033196873997,0.0,6550.0
217.0,240830.4795806207,5156804.384530852,9.0,240830.07785714048,5156795.393500974,0.044635942249185115,0.9990033196438975,0.0,6560.0
217.0,240840.4692284063,5156803.93818864,9.0,240840.06750492647,5156794.947158763,0.04463594220376103,0.9990033196459271,0.0,6570.0
217.0,240850.4588761913,5156803.491846431,9.0,240850.05715271144,5156794.500816554,0.0446359422050587,0.9990033196458692,0.0,6580.0
217.0,240860.44852396744,5156803.045504225,9.0,240860.04680040354,5156794.054474352,0.04463595154421414,0.9990033192285912,0.0,6590.0
217.0,240870.43817176227,5156802.599162022,9.0,240870.03644828242,5156793.608132144,0.0446359422050587,0.9990033196458692,0.0,6600.0
