cat,x,y
766,327391.764563184,5002929.69637122
767,327377.233481273,5002877.74703619
768,327377.236786991,5002877.84698154
769,327353.835580791,5002889.56028917
770,327353.924593805,5002889.51471853
771,327377.233481273,5002877.74703619
772,327377.143639196,5002877.79094976
773,327592.555851161,5001545.49082927
774,327592.550188932,5001545.39098971
775,327591.126589867,5001494.74885735
776,327591.141602348,5001494.84772405
777,409722.720783823,4980526.94426249
778,409722.699197912,4980527.04190494
779,409725.861111851,4980567.71709034
780,409725.763330628,4980567.73803867
781,409731.014354935,4980567.21558633
782,409731.114228608,4980567.22061121
783,409750.853291542,4980567.77398731
784,409750.753292066,4980567.77366353
785,396536.444816778,4980363.19336432
786,396536.389471366,4980363.11007635
787,396507.646556826,4980313.92671471
788,396507.685484945,4980314.01882661
789,407997.098534686,4976462.81727472
790,407997.06599852,4976462.72271576
791,407977.989041384,4976407.2798786
792,407978.021577549,4976407.37443757
793,402312.541637026,4978538.12902385
794,402312.545840788,4978538.02911224
795,402312.904894038,4978513.3288498
796,402312.905452573,4978513.42884825
797,408567.9998651,4977022.7416011
798,408567.998490068,4977022.64161055
799,408388.479185244,4976874.63939214
800,408388.573238153,4976874.67336346
801,402289.384132193,4978939.39688579
802,402289.418566144,4978939.30300127
803,402313.790530649,4978879.29991313
804,402313.792122232,4978879.39990046
805,335942.457099521,5043708.02896611
806,335942.553257306,5043708.00151287
807,335969.43197683,5043708.25880807
808,335969.332001048,5043708.26100879
809,335942.888809128,5043674.73625295
810,335942.890526116,5043674.83623821
811,335942.457099521,5043708.02896611
812,335942.556881709,5043708.0355627
813,335917.68995087,5043709.6287507
814,335917.789210798,5043709.61660711
815,335942.457099521,5043708.02896611
816,335942.357484865,5043708.03773654
817,334842.439039351,5041391.47569496
818,334842.522034457,5041391.41991134
819,334885.260225746,5041363.0084546
820,334885.178852352,5041363.06657835
821,337992.811162446,5051817.1916329
822,337992.799516936,5051817.09231331
