cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
345,411604,"318324311",5115,"tertiary","491st Avenue","CR 26","B",0,0,"F","F",1,400436.15127151,4940139.57027698
346,230836,"18248292",5141,"service",,,"B",0,0,"F","F",1,416208.010305763,4931835.88629392
347,141755,"18141704",5141,"service",,,"B",0,0,"F","F",1,388136.03111074,4943165.04318467
348,961031,"1380155346",5121,"unclassified","Tagus Avenue",,"B",0,0,"F","F",1,389640.925135448,4943287.3780708
349,233487,"18251360",5122,"residential","571st Avenue",,"B",0,0,"F","F",1,387787.858359139,4931626.87714885
350,232981,"18250797",5122,"residential","561st Avenue",,"B",0,0,"F","F",1,389395.712417297,4930426.87382266
351,232344,"18250072",5122,"residential","471st Avenue",,"B",0,0,"F","F",1,403692.920462545,4940486.74741716
352,554965,"743676168",5113,"primary","State Highway 22","MN 22","B",96,0,"F","F",1,402894.706864874,4940458.90469552
353,233505,"18251378",5115,"tertiary","461st Street","CR 21","B",0,0,"F","F",1,405298.089911531,4940019.63272581
354,232966,"18250781",5122,"residential","481st Avenue",,"B",0,0,"F","F",1,402079.925134993,4925749.89716653
355,233597,"18251484",5115,"tertiary","491st Avenue","CR 8","B",0,0,"F","F",1,400517.052352363,4925122.52329621
356,233573,"18251459",5122,"residential","501st Avenue",,"B",0,0,"F","F",1,398919.842958632,4924831.00405552
357,450722,"483505557",5122,"residential","340th Street",,"B",0,0,"F","F",1,397296.318227633,4923406.90303077
358,230768,"18248197",5113,"primary",,"MN 19","B",96,0,"F","F",1,374802.628267902,4932354.16466413
359,232862,"18250661",5122,"residential","641st Avenue",,"B",0,0,"F","F",1,376276.173768601,4936396.98031262
360,233352,"18251209",5122,"residential","260th Street",,"B",0,0,"F","F",1,375805.272181298,4936574.89330932
361,232793,"18250584",5114,"secondary","625th Avenue","CR 2","B",0,0,"F","F",1,378681.419461915,4935309.71839451
362,233593,"18251480",5122,"residential","491st Avenue",,"B",0,0,"F","F",1,400666.171648257,4932011.33051436
363,411626,"318326465",5115,"tertiary","501st Avenue","CR 23","B",0,0,"F","F",1,399048.387780181,4931954.17357859
364,233306,"18251162",5122,"residential","505th Avenue",,"B",0,0,"F","F",1,398240.086025911,4932518.36562287
365,232532,"18250295",5122,"residential","310 Street",,"B",0,0,"F","F",1,389924.522472156,4928120.35953011
366,394710,"256262801",5112,"trunk","State Highway 15","MN 15","B",96,0,"F","F",1,390938.048692144,4927259.76309472
367,231884,"18249561",5141,"service",,,"B",0,0,"F","F",1,392011.810208412,4926728.35474821
368,231564,"18249218",5141,"service",,,"B",0,0,"F","F",1,380308.26092271,4934858.9846972
369,232230,"18249952",5141,"service",,,"B",0,0,"F","F",1,381403.089103554,4934612.50734151
370,411601,"318324308",5122,"residential","240th Street",,"B",0,0,"F","F",1,381165.149529658,4939707.05505324
371,232808,"18250601",5122,"residential","511th Avenue",,"B",0,0,"F","F",1,397349.798463906,4929356.39532581
372,233372,"18251233",5115,"tertiary","521st Avenue","CR 4","B",0,0,"F","F",1,395751.605947845,4929856.19025325
373,233693,"18251588",5122,"residential","535th Avenue",,"B",0,0,"F","F",1,393353.845646595,4930003.42229985
374,584401,"766411691",5122,"residential","300th Street",,"B",0,1,"T","F",1,391685.558380855,4930310.30937406
